SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
Cc1cc(C)c(C(=O)[C@H](C)OC(=O)c2cnn3c2CCC3)[nH]1,True,0.6935175110798595,301.34600000000006,2.20244,4.0,76.98000000000002,1.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CC(=O)
C(Nc2cc3c(nn2)CCOC3)CCC1,False,,,,,,,,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C1=CC=
,True,0.3394235898455091,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C1CCCCC1
CN(C)C(=O)N1CCN(C(=O)CCc2nnc(-c3ccccc3)o2)CC1,True,0.8279598172526551,357.4140000000001,1.4949999999999994,4.0,82.78000000000002,0.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCC
CN1CCC(NC(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)OCCO4)C2)CC1,True,0.8725825888194224,359.4260000000002,1.0211,3.0,71.11000000000001,1.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCC
[C@@H]2CCN(C3CCC4(CCNCC4)CC3)C[C@H]2C1,False,,,,,,,,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C1CN
CC(C)CC[C@@H](N)C(=O)Nc1nc(C(C)(C)C)co1,True,0.8590198410871531,267.373,2.674100000000001,5.0,81.15,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CC(=O)
CCN1CC[C@H](NC(=O)C[C@H]2CCCc3ccccc32)C(C)(C)C1,True,0.9131387810729008,328.5000000000001,3.7332000000000023,4.0,32.34,1.0,2.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C#N
Cc1cc(C(=O)NC[C@@H](O)CNC(=O)C(C)(C)C(C)C)ccn1,True,0.7053228765489992,321.42100000000005,1.2791199999999994,7.0,91.32,3.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,COC
Cn1cc(CN[C@@H]2CCCN(Cc3ccccn3)C2=O)cn1,True,0.8977051440390674,299.37800000000004,1.0958999999999994,5.0,63.05,1.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,Clc1ccccc1
NCCC(=O)N1CCC[C@H]1CN1CCOCC1,True,0.7312707552572927,241.33499999999992,-0.3415999999999992,4.0,58.80000000000001,1.0,4.0,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,NC(=O)
CN(Cc1ccccc1CNC(=O)C(=O)N(C)Cc1ncc[nH]1)C(=O)OC(C)(C)C,True,0.7023615496756089,415.49400000000014,2.0513999999999992,6.0,107.63,2.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCN
C(CN[C@H]2CCNC[C@@H]2C2CCCC2)CC1,False,,,,,,,,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C1=CC=
CO[C@H](C)C(=O)N1CC[C@H]2CC[C@@H](C1)N2C(=O)c1ccccc1,True,0.8559754931144758,316.40099999999995,1.9269999999999996,3.0,49.85,0.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,COC
CC[C@@H](C)CCC(=O)O,True,0.6306362992241078,130.187,1.8973,4.0,37.3,1.0,1.0,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCOCCN
CO[C@@H]1CCN(C(=O)c2c(C)nc(-c3ccco3)nc2SC)C1,True,0.6327529653494611,333.4130000000001,2.6278200000000007,4.0,68.46000000000001,0.0,6.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCC
COC[C@H](NC(=O)Nc1ccc(OCC2CCOCC2)cc1)C(N)=O,True,0.6495383023846045,351.40300000000013,1.1137999999999997,8.0,111.91,3.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,COC
)c1ccccc1O[C@H]1CCN(Cc2ccccc2)CC1(C)C,False,,,,,,,,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,P(=O)(O)O
C(c2cccc3c2CCC32OCCO2)CCC1,False,,,,,,,,False,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C1=CC=
CCN(CC)c1nnc(-c2cccc(Cl)c2)n1C[C@]1(N2CCOCC2)CCSC1,True,0.6610568877293114,436.0250000000004,3.6526000000000014,7.0,46.42,0.0,7.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C#N
CCc1nn(C)cc1CNC[C@@H](O)c1cccc2ccccc12,True,0.7358456138216406,309.413,2.9589000000000016,6.0,50.08,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCOCCN
Cc1cc(Br)c(F)cc1NC(=O)C(=O)N[C@H](C)C(C)(C)C,True,0.7957005580039159,359.23900000000015,3.3859200000000023,2.0,58.2,2.0,2.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,C#N
O=C(CCOc1ccccc1)NC[C@@H](c1ccccc1)N1CCCC1,True,0.8018897502589897,338.4510000000002,3.408800000000002,8.0,41.57,1.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,NC(=O)
CC(C)Oc1ccc(C(=O)N[C@@H]2CC(=O)N(C3CC3)C2)cc1,True,0.9043969749734908,302.3740000000001,1.9669,5.0,58.64,1.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,loose,1.0,0.9,CCC
