SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
CCN1CC[C@H](NC(=O)C[C@H]2CCCc3ccccc32)C(C)(C)C1,True,0.9131387810729009,328.5000000000001,3.7332000000000027,4.0,32.34,1.0,2.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,C#N
CN(Cc1ccccc1CNC(=O)C(=O)N(C)Cc1ncc[nH]1)C(=O)OC(C)(C)C,True,0.7023615496756089,415.49400000000014,2.0513999999999992,6.0,107.63000000000001,2.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CCN
CO[C@H](C)C(=O)N1CC[C@H]2CC[C@@H](C1)N2C(=O)c1ccccc1,True,0.8559754931144758,316.40099999999995,1.9269999999999994,3.0,49.85,0.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,COC
CO[C@@H]1CCN(C(=O)c2c(C)nc(-c3ccco3)nc2SC)C1,True,0.6327529653494611,333.4130000000001,2.6278200000000007,4.0,68.46000000000001,0.0,6.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CCC
CCc1nn(C)cc1CNC[C@@H](O)c1cccc2ccccc12,True,0.7358456138216406,309.413,2.9589000000000016,6.0,50.08,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CCOCCN
CC[C@H]1CN(C(=O)c2cc(C)ccc2C)CC[C@@H]1NC(=O)C1CC1,True,0.9232675465175557,328.4560000000001,3.0703400000000007,4.0,49.410000000000004,1.0,2.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CCOCCN
N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccc(NC(=O)C(F)(F)F)nc1,True,0.5037987366552872,405.38000000000005,2.2499000000000002,6.0,112.89999999999999,4.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CC(=O)
C=C1NC(C(=O)N[C@@H]2CCCN(C(=O)Cc3ccccc3)C2)=CS1,True,0.877628850542761,343.452,1.9852999999999994,4.0,61.440000000000005,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CCN
O=C(Nc1ccn(-c2ccc(Cl)cc2)n1)[C@H]1CCCNC1,True,0.9155845592638675,304.78100000000006,2.4638,3.0,58.95,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,NS(=O)(=O)
O=S(=O)(Nc1ccc(N2CCCC2)cn1)c1ccc2c(c1)CNC2,True,0.8882865301155223,344.4400000000001,2.0858,4.0,74.33000000000001,2.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,tight,1.0,0.9,CC(=O)
