SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
C#CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1c1nccs1,True,0.8485941886688135,349.45599999999996,2.723200000000001,4.0,71.53,1.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,COC
O=C(NCC1CCNCC1)Nc1ccc2c(c1)CN(CC(F)(F)F)C2,True,0.777516954395314,356.3920000000001,2.685600000000001,4.0,56.4,3.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CC(=O)
O=C(OCc1ccn(-c2ccc(F)cc2F)n1)[C@@H]1Cc2ccccc2CN1,True,0.7188105341267289,369.371,2.9082000000000017,4.0,56.15,1.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CC(=O)
Cc1ccc(C(=O)N2CCC[C@@H](CN(C)C(=O)[C@@H]3C[C@H]3C3CC3)C2)o1,True,0.8251139569056979,344.45500000000015,2.944720000000001,5.0,53.760000000000005,0.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCS
[CH]1CCN(c2nnc([C@@H]3C[C@H]3c3ccccc3)n2C[C@H]2CCOC2)C1,True,0.8411471325034419,337.4470000000002,3.000090000000002,5.0,43.18000000000001,0.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,c1ccccc1
O=C(NCc1cccc(NC(=O)C2CCC2)c1)C(=O)Nc1cccc(F)c1,True,0.708471377610462,369.3960000000002,2.8192000000000004,5.0,87.30000000000001,3.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NC(=O)
CC(=O)[C@@H](Cc1ccc(Cl)cc1)OC(=O)c1ccc(N)c(Cl)n1,True,0.6586211624235183,353.2050000000001,3.327700000000001,5.0,82.28,1.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,COC
Nc1cccc(NC(=O)c2ccccc2SCC(=O)N2CCCC2)c1,True,0.6376906934229233,355.46300000000025,3.2356000000000025,5.0,75.42999999999999,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CC(=O)
CC[C@@H]1CCC[C@H](NC(=O)N2C[C@@H](OC)C[C@@H]2c2n[nH]c(C3CC3)n2)C1,True,0.8439377654062279,361.4900000000001,3.122300000000001,5.0,83.14,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCS
O=C(CN1CCN(c2ccc(F)cn2)CC1)Nc1ccccc1Cl,True,0.9224539608017971,348.8090000000001,2.6348000000000003,4.0,48.470000000000006,1.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NS(=O)(=O)
O=C(NCc1ccccc1-c1ncc[nH]1)[C@@H]1CC(=O)N(c2ccccc2)C1,True,0.7343392841796242,360.4170000000001,2.7460000000000004,5.0,78.09,2.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NS(=O)(=O)
Cc1nc2ccc(NC(=O)NC[C@H]3CCN3C3CCOCC3)cc2s1,True,0.8796526474700646,360.4830000000001,2.979520000000001,4.0,66.49000000000001,2.0,5.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCS
O=C(COC(=O)c1cccs1)Nc1cc(Cl)ccc1[N+](=O)[O-],True,0.5119530490785302,340.7440000000001,3.1052000000000017,5.0,98.54,1.0,6.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NS(=O)(=O)
Cc1cccc(CNC(=O)C(=O)N[C@@H](c2ccc(F)cc2)C(C)C)c1,True,0.8195766991811595,342.4140000000001,3.2638200000000017,5.0,58.2,2.0,2.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCS
C[C@H](Oc1ccccc1F)c1nnc(N2CCO[C@@H](C)C2)n1C1CC1,True,0.8325462092171859,346.4060000000002,3.1172000000000013,5.0,52.41,0.0,6.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,COC
O=C(N[C@H](CO)[C@@H]1CCCOC1)[C@@H]1C[C@@H]1c1cc(Cl)cc(Cl)c1,True,0.8508681158682492,358.265,3.0006000000000013,5.0,58.56,2.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCC
O=C1COc2ccccc2CN1CCN[C@H]1CCCc2ccccc21,True,0.9328522086927765,336.4350000000002,3.0748000000000015,4.0,41.57,1.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NS(=O)(=O)
O=C(Cc1cccc(OCc2ccccc2Cl)c1)N1CCNCC1,True,0.9064439336210413,344.8420000000001,2.893300000000001,5.0,41.57000000000001,1.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NS(=O)(=O)
C[C@@H](NC(=O)c1ccc(S(C)(=O)=O)cc1)c1ccc(Cl)cc1,True,0.9311637099490235,337.828,3.2345000000000024,4.0,63.24,1.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,C#N
COc1cccc([C@H]2C[C@@H](C)N(C(=O)Cc3c(C)nn(C)c3C)C2)c1,True,0.8588047431807948,341.4550000000001,2.9926400000000015,4.0,47.36,0.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCN
CC1CCC(C(=O)N[C@@H]2C[C@H]3CC[C@@H]2N3Cc2nc(C3CC3)n[nH]2)CC1,True,0.8496855676078392,357.5020000000001,2.7299000000000007,5.0,73.91,2.0,4.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,COC
CC[C@H]1C[C@@H](O)CN1C(=O)NC[C@H]1CCCCN1Cc1ccccc1,True,0.86238794827269,345.487,2.5959000000000003,5.0,55.81,2.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,COC
Cc1nnc(N2CCN(Cc3ccccc3)C[C@@H](C)C2)n1C[C@H]1CCOC1,True,0.8106518146253677,369.51300000000026,2.5813200000000007,5.0,46.42,0.0,6.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,COC
CC1CCN(c2nnc(-c3cnccn3)n2Cc2cccs2)CC1,True,0.7303212422705547,340.45600000000013,3.0812000000000017,4.0,59.730000000000004,0.0,7.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NC(=O)
Cc1cccc(O[C@H](C)Cn2c(N3CCNC[C@H]3C)nnc2C(C)(C)C)c1,True,0.8749682515195909,371.5290000000001,3.1496200000000005,5.0,55.209999999999994,1.0,6.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CC(=O)
S=C(NCc1ccccc1)NCC1(N2CCSCC2)CCCC1,True,0.7972803931792392,349.5690000000002,3.0123000000000015,5.0,27.299999999999997,2.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,NS(=O)(=O)
C[C@@H](NC(=O)c1ccc(S(C)(=O)=O)cc1)c1ccc(Cl)cc1,True,0.9311637099490235,337.828,3.2345000000000024,4.0,63.24,1.0,3.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,C#N
C[C@H](NC(=O)NCc1ccc(F)cc1)C(=O)N1CCC[C@H](C(C)(C)C)C1,True,0.8621884533711287,363.4770000000002,3.2981000000000025,4.0,61.440000000000005,2.0,2.0,True,1.0,GPT2-Zinc-87M,multi_prefix,ultra_tight,1.0,0.9,CCC
