SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,Temperature,TopP
C=CC=CCCc1cc(Br)ccc1NC(=O)NCCc1ccccc1CC(C)C(=O)Nc1ccc(NC(=O)CC(=O)[O-])cc1CCC(C)CC(=O)NC1(C(=O)[O-])CCCCC1CCC[NH2+]C(CCC(C)C)C1CCOC2(CCCCC2)C1,True,0.02042520290034411,1193.3989999999994,9.4157,31,234.53,6,9,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCOc1ccc(NC(=O)CCCOc2ccc(F)cc2Cl)cc1NCOC1C=CC(C=C2C[NH+]=C(Nc3ccc(Cl)cc3)S2)=CC1CCCOC(=O)C=CC=CN1C(=O)C(O)=C(c2ccc(Cl)cc2)C1c1ccccc1C,True,0.012434398553453378,1172.6239999999996,13.005519999999983,25,161.66,5,11,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCOc1cccc(C(=O)N2CC[NH+](Cc3nc(-c4ccc(C)cc4)cs3)CC2)c1OCCOCCn1cc(C(=O)[O-])c(=O)cc1Nc1cc(OC)ccc1OC(Cc1cnn(-c2ccccc2)c1)NCCC=CC=CF,True,0.024110855025072764,1105.3029999999999,7.305820000000008,29,187.79999999999998,3,16,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCNC=C(C=NOc1ccccc1CCc1ccccc1CCC[NH+]CCCC(=O)NCC1CCCC[NH+]1CC(=O)Nc1c(C)cc(C)cc1CCC(=O)OC=CC=CNC(=O)CCNC)C[NH2+]C1CC2CC1C1CCCC21,True,0.009395982206008565,1122.5539999999996,5.540240000000013,35,195.89999999999998,8,10,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCC1C=C(n2cc(COc3ccc(C(=O)c4ccc(F)cc4)cc3)nn2)ON1CCCOC(=O)c1ccc(N2C(=O)C(O)=C(c3ccc(OCC(C)C)cc3)C2c2ccccc2O)cc1CCOC=CC=C,True,0.018235063022699977,1028.147,11.077199999999989,25,175.00999999999996,2,14,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCc1ccccc1Cn1cnc(C(C)O)c1CC(CCCC(=O)[O-])NC(=O)N1CCCC([NH+](C)C)C1OC(C=CN=C(C=NCc1ccc(NC(=O)C(C)(C)C(N)=O)cc1CC)NCc1ccco1)Nc1ccccc1,True,0.009934278520283798,1094.3719999999998,5.778500000000011,29,258.3,7,13,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCCCCOCCCNC(=O)NCC(C)CC(=O)[O-],True,0.3728029048100636,325.4290000000001,1.3809000000000002,14,90.49000000000001,2,4,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCC1CCCC([NH2+]CCCn2ccnn2)C1CCCN(CC)S(=O)(=O)c1cccc(C(=O)OCC(=O)NC(C)C)c1Cc1ccccc1NC(=O)c1cccc(C)c1NC(=O)CCC[NH+]CC(=O)NC=CC=CCC(=O)NCCCCC,True,0.014611914000355315,1203.5859999999998,6.423220000000011,38,272.09999999999997,7,13,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCCC1(O)CN(C(=O)Cn2nc(C)c([N+](=O)[O-])c2C)C1CC(=O)N1CCCN(C(=O)CCCc2ccccc2)CC1COc1ccccc1CCNC(=O)C=CC=C(CNc1cc(C)[nH+]c2ccccc12)OCCNC,True,0.0104941117325691,1094.3479999999997,6.516560000000006,28,227.87999999999994,4,13,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=COCCC(CCCOC(c1ccccc1)C([NH2+]CC=NN=C(OCC1=NC(c2ccc(CCNC(=O)CCc3nc(C(C)C)no3)s2)=C[SH]1C)C(C[NH3+])N(C)C1CCCC1)C1CCCCC1)C(=O)N1CCCCC1,True,0.008994921605460478,1113.5939999999994,8.558800000000007,32,200.58999999999997,4,13,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCCCNC(=O)C(Cc1ccccc1)N(Cc1ccc(F)cc1)C(=O)CCSCc1ccccc1COc1ccc(C#N)c(OC)c1COCC(=O)OC(C)C(NC(=O)c1ccccc1)C(=O)NC(C)C(=O)NCCC=CC=CC,True,0.016960721925246426,1163.4229999999998,9.577180000000002,35,214.48999999999998,4,12,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCCOC(=O)c1c(NC(=O)c2ccc(OC)cc2)sc2c1CCCC2Cc1ccc(N)c(N)c1C(F)F,True,0.0965900953187397,581.6850000000004,7.062700000000006,11,116.66999999999999,3,7,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c1ccc(C)c(C)c1COc1ccccc1OCC(=O)N1CCC(NC(=O)C(C)Oc2ccc(Cl)cc2C)CC1CC=CC=CC(C)NC(=O)N(C)Cc1c(C)noc1C,True,0.05024107089559349,1131.2119999999995,11.152599999999994,24,184.88,3,10,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCc1ccc(C(=O)CCC(=O)N2CCN(c3ccccc3)CC2)cc1CCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)COP(=O)([O-])OCCC,True,0.02132697223029584,1355.7639999999985,17.508199999999977,62,230.62999999999997,1,16,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CC=CNS(=O)(=O)C=CC=CCC1CCCc2cc(C(C[NH3+])OCC(C)COC3C(OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCCC=CC=C)OC(COC(C)=O)C(C)C3O)ccc21,True,0.018245577366992602,1316.8989999999988,16.226499999999966,55,209.85999999999996,3,13,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCC(C(=O)OCc1ccccc1)c1ccc(OCCN2CCN(Cc3ccccc3)C2=O)c(Cl)c1CCCCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)NCCCCC,True,0.016246155654606763,1244.1129999999994,13.441899999999984,46,195.70999999999998,5,9,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
C=CC=CCCOc1ccc(CC(O)Cc2ccc(C)cc2)cc1CC(C)C1CCC(C(NN)c2sccc2Br)CC1CN(C)c1cncc(-c2ccnc3[nH]c(-c4ccnc5c4CCC(=O)N5)cc23)c1CC=CC(C)=NC,True,0.013773481796519367,1129.3269999999993,13.102719999999987,23,166.67000000000002,5,11,False,1.0,ChemGPT-4.7M,aromatic_core,1.0,0.9
