SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
C/C=C\N,True,0.4296407387710388,57.096,0.4787000000000001,0,26.02,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C/C=C\CC,True,0.41363968044003097,70.135,1.9725,1,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NC1(c2noc(CCCC3CC3)n2)CCCCC1,True,0.8710059073703271,249.35799999999992,2.9204000000000017,5,64.94,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Cc1ccccc1,True,0.45880627965754545,92.14099999999999,1.99502,0,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC/C=C/CC,True,0.45042281256419275,84.162,2.3626000000000005,2,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC/C=C/CC1CCCC1,True,0.5232303018953305,138.254,3.5329000000000024,3,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C(C)CCC,True,0.45042281256419275,84.16199999999999,2.3626000000000005,2,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C1CNC1,True,0.4117456116182956,57.096,-0.02030000000000004,0,12.03,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
c1ccc(C2CC2)c([C]2CCCN2)c1,True,0.748552712128893,186.27799999999996,2.827490000000001,2,12.03,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCN(CC1CN1CCC(O)CC1OCCO1)C(=O)C1CCCCCC1,True,0.49820995905337906,368.51800000000026,2.003499999999999,9,62.01,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Cc1ccccc1C(N)=O,True,0.615094781152428,135.166,1.09392,1,43.09,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCN(CCCCCn1ccnc1)CC1(F)[C@H](CO)OC(F)(F)C(F)(F)C1(F)F,True,0.452634452478732,435.384,3.338100000000002,10,50.52000000000001,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
OC[C@H]1O[C@H]1C=CC=CC=C=C1OCCCCCO1,True,0.4796110383484188,264.3209999999999,2.0721,4,51.22,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCCCC(=O)O,True,0.5200092163601909,103.12099999999998,-0.19009999999999977,3,63.32000000000001,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
COc1ccccc1CO,True,0.664708696108545,138.166,1.1874999999999998,2,29.46,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCNC(=O)N=c1cc[nH]c2ccc(Oc3ccccc3)cc12,True,0.7762464911172383,307.353,3.5904000000000025,3,66.48,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCN,True,0.5124148721749513,73.139,0.7452000000000001,2,26.02,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H]1CCCCN1C(=O)C/N=C1/NS(=O)(=O)c2ccccc21,True,0.8865409530807161,321.40200000000004,1.1260999999999997,2,78.84,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH]1CCC[C@H](c2ccccc2)C1,True,0.5875304738474997,159.25199999999998,3.548490000000002,1,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCn1ccnc1S(=O)(=O)N[C@H](C)CO,True,0.7219650769546629,233.293,-0.4379000000000001,5,84.22,2,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C(O)CC,True,0.46486266744374594,72.107,1.4681,1,20.23,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCNCCCNC(=O)CNC(=O)CC,True,0.483750248162649,215.29699999999997,-0.3715999999999995,8,70.22999999999999,3,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
OCCNCc1cccc2[nH]ncc12,True,0.6215732450572365,191.234,0.6447999999999997,4,60.94,3,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C1[CH]Cc2ccccc21,True,0.5226420373999973,131.15399999999997,1.6296899999999999,0,17.07,0,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
N=C(O)OC[CH][C@H](O)[P]PPCOCCOCCOCCOOCCCCCCN,True,0.040052086546004874,490.41100000000057,2.6262600000000003,24,145.71000000000004,4,9,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCCCCCCCC[C]Nc1nonc1NC,True,0.3782839958822097,294.443,4.872990000000003,14,62.980000000000004,2,5,True,0.9999962053963121,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
OCCOCCOCCOCCOCCONPCOCCOCCOCCO,True,0.08727257573436858,447.46200000000033,-0.8405999999999954,26,126.33000000000003,3,11,True,0.9999859527342109,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O[C@H]1CCOC1,True,0.4428375297106922,88.106,-0.23239999999999994,0,29.46,1,2,True,0.999914658800157,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C#CCNC(=O)C(=O)Nc1ccc2nc(C3CC3)oc2c1,True,0.6583411555018815,283.28700000000003,1.3930999999999996,3,84.23,2,4,True,0.9500000021563001,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNCOCN[C@@]1(C)CCOC1,True,0.4512334803045305,174.24399999999997,-0.09399999999999964,5,42.519999999999996,2,4,True,0.9500000000000001,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NC1CCCCCC1,True,0.47499361814086904,113.20400000000001,1.6679,0,26.02,1,1,True,0.9473684210364922,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=NC1=CCCCCCCC1,True,0.5097054353934377,151.253,3.3152000000000026,1,12.36,0,1,True,0.947368348334896,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C#C[C@@H]1CCCN1C,True,0.4140868525355898,109.17200000000001,0.7138,0,3.24,0,1,True,0.9405376936143068,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
