SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
N/C=N/N=C/NN,True,0.16890169529792096,101.113,-1.62,2,88.78999999999999,3,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
Cc1cscc1C(=O)O,True,0.6482298630855363,142.179,1.75472,1,37.3,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
O=C(CCC1CCCCCC1)Nc1ncccn1,True,0.8313651735723315,247.342,3.165700000000001,4,54.88,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
Cn1nccc1C(=O)N[C@@]12CCCC[C@@H]1NC(=O)C2,True,0.8072444979190111,262.313,0.3512,2,76.02000000000001,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
O=C(NCCCNc1ncccn1)Nc1ccccc1C(=O)O,True,0.5789321581055733,315.33300000000014,1.7984999999999998,7,116.24,4,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
COc1ccccc1/C(C)=C\C(=O)N(C)CCC#N,True,0.7622855136489557,258.3209999999999,2.47058,5,53.33,0,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCCCCCC(C)C,True,0.4960481579147377,128.259,3.6128000000000027,5,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CC[C@H]1CCN(C2CCCC2)[C@H]1C1CCOCCN1,True,0.8487848574126114,266.4289999999999,2.4080000000000004,3,24.5,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CNCCCNCCNN[C@H]1CCCC[C@H]1NC1CCNCC1,True,0.23596673113224673,326.53300000000013,-0.06749999999999656,11,72.17999999999999,6,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C=C(C)C,True,0.3695110694427644,56.10799999999999,1.5824,0,0.0,0,0,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C#CCCCCOC,True,0.3946968124686752,112.172,1.4363,4,9.23,0,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C#CC(C)(C)NC(=O)NCC1CCOCC1,True,0.7058789130483428,224.30399999999992,1.1239999999999999,3,50.36,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
N#C[C@@]1(F)CN1,True,0.326928371201154,86.069,-0.22101999999999994,0,45.730000000000004,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CC/C=C\CCSCC,True,0.4218521354482888,144.283,3.0958000000000014,5,0.0,0,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C=CC=NN,True,0.26536546936380834,70.095,0.11690000000000011,1,38.379999999999995,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
Cn1nnnc1C1CCOCC1,True,0.5966328516873697,168.19999999999996,0.10409999999999942,1,52.83,0,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C[C@@H]1[CH]CN1,True,0.42851403486748185,70.115,0.18239,0,12.03,1,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
N=CN=C=CC=CC=O,True,0.19208651074270483,122.12699999999995,0.57447,3,53.28,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
