SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
N[C]OCCCCCCO,True,0.4051651513535412,145.202,0.5106900000000001,7,55.480000000000004,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
N[C@@]1(C=C2CC2)CCNC1,True,0.5145743258835912,138.214,0.39740000000000003,1,38.05,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CC/C=C\C=C1/CCSC1,True,0.5888885066682272,154.278,3.015900000000002,2,0.0,0,1,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(c1ccncc1)N1CCCCc2c(Cl)cccc21,True,0.8003841799189296,286.76199999999994,3.7181000000000024,1,33.2,0,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(O)CSCCNC(=O)C1CC1,True,0.6104781421603324,203.26299999999998,0.33039999999999986,6,66.4,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Cn1ccnc1[C@H]1CCCN(C(=O)C2CCN(C(=O)CN)CC2)C1,True,0.8634384547064394,333.43600000000015,0.3234000000000013,3,84.46000000000001,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CNCC(=O)NC[C@]1(C)CCCN(c2nccnc2F)C1,True,0.8303700728755312,295.362,0.557799999999999,5,70.15,2,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
[CH]1CNC[C@H]1C1=NNC1CC1CCCSCCNC1,True,0.7180788472206429,281.44899999999996,0.8607899999999999,3,48.45,3,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
[CH]1CCNCC[C@H]1N[C@H]1CCCCNC1,True,0.6269681656005676,210.34499999999994,0.6743900000000005,2,36.089999999999996,3,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
NCCNNCC[C]NC1CCC1,True,0.2356516372147085,184.28699999999995,-0.3897099999999998,8,62.11,4,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
