SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
C[C@@H](CCC1=NNC1=NCCN1N[C@H]2CCCC[C@H]21)CO[C@H]1CCCc2cccnc21,True,0.6357157576515504,424.59300000000025,3.381000000000001,9,74.14,2,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCCN(C)C(=O)C(=O)NCCNC,True,0.47785284471082035,243.351,0.3607000000000014,8,61.440000000000005,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCn1nccc1C(=O)N(C)CCCNC,True,0.7202674559781108,238.33499999999995,0.9745999999999999,7,50.160000000000004,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Nc1ccccc1-c1ccccc1CN1CCOCC1,True,0.8699358073341674,268.35999999999996,2.7680000000000007,3,38.489999999999995,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC(C)(CN)NC(=S)NCCN1CCCCC1,True,0.6330946855095926,258.43499999999995,0.6737000000000013,5,53.32,3,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH]1CN(c2cc(-c3ccccc3)nc3ncnn23)C[C@H]1[C@H]1OC1CCC1OCCCO1,True,0.5676266461451621,420.4930000000003,2.7423900000000003,6,77.31000000000002,0,8,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC[C@H]1CCCN(C(=O)c2ccccc2OCCOC)C1,True,0.7563776427220732,291.3910000000001,2.974000000000001,6,38.77,0,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C1CC(CCc2noc(C3CCOCC3)n2)CCO1,True,0.8367482917093327,266.34099999999995,2.3228,4,57.38000000000001,0,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH]1CC(N2CCC(OC3CCOCC3)CC2)C1,True,0.7505473133088776,238.35099999999989,2.01309,3,21.700000000000003,0,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CN1CCC(CNC[C@H]2CNCCCO2)CC1,True,0.74197880751223,241.37899999999993,0.29630000000000134,4,36.53,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCN(CC1CC1)C(=O)Nc1cccc(CSC2CCCC2)c1,True,0.75080018811837,332.51300000000015,5.126200000000004,7,32.34,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCN(CC1CC1)S(=O)(=O)c1cc(Cl)cnc1N,True,0.8955859521152602,289.788,1.7378,5,76.29,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
