SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
C1CCC(CNCCCCC2CC2)CC1,True,0.6298846406610574,209.37699999999995,3.736600000000003,7,12.03,1,1,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NC1(CC2=NNC2CCOCC2CCCSCCN2)CCCCCCC1,True,0.590442981971067,382.6180000000003,3.0380000000000003,7,71.67,3,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C1CCN(CCCNCCCC2CCCN2CC2CC2)CC1,True,0.6257214014063193,307.5260000000001,3.106600000000001,10,18.509999999999998,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
COCc1sccc1Br,True,0.7238169667420036,207.09199999999998,2.657000000000001,2,9.23,0,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC1=CCC[C@H]1CNC(=O)CC(C)(F)F,True,0.7201265082151083,217.25899999999996,2.504200000000001,4,29.1,1,1,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCC[C@H](C)CCCC(=O)N1CCC2(CC1)CN(C1CCCC1)C2,True,0.6860723485967628,334.5480000000002,4.459900000000005,7,23.550000000000004,0,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=CCNC(=O)NCc1ccccc1COC,True,0.7375731706234541,234.29899999999998,1.8182,6,50.36,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCNC(=O)CNCCNC(=O)OC1CCCC1,True,0.5697604227877521,271.361,0.7709999999999995,8,79.46000000000001,3,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC(C)NCCCCCCNC(=O)OC(C)(C)C,True,0.6578433533422046,258.40599999999995,3.0695000000000014,8,50.36,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=S(=O)(Oc1cccc(F)c1)c1cccc(F)c1-c1nn[nH]n1,True,0.729897214874565,338.295,1.9125999999999996,4,97.83,1,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Cc1nc(COCCOCCCN)no1,True,0.626129851867758,215.25299999999996,0.26002000000000025,8,83.4,1,6,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCc1ccc(C(=O)Nc2nnc(Cc3ccccc3)s2)cc1,True,0.7559978733878204,324.409,2.839900000000001,5,80.9,2,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
COC1(CCSCC2CCCNCC2)CCCN(C2CCCCC2)C1,True,0.6767411414069091,368.6310000000002,4.313100000000004,7,24.5,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH](c1nc([C@H]2CCCCS2)no1)[C@@]12CCCNC1COCCCCOC2,True,0.8636578943228713,380.5340000000003,3.145590000000001,3,69.41000000000001,1,7,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H]1CCCCN(C(=O)[C@H](C)N2CCSCC2)C1,True,0.7673234449350248,270.442,2.0723000000000003,2,23.550000000000004,0,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCc1cnccc1C,True,0.5530661857438417,121.18299999999996,1.9524199999999998,1,12.89,0,1,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
COc1ccc(S(N)(=O)=O)cc1NCc1cnon1,True,0.8115057908831135,284.297,0.3377,5,120.34,2,7,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CN1CCOCC1=O)NCCCOC(F)(F)F,True,0.6909741908590539,284.2339999999999,-0.11210000000000031,6,67.87,1,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
COc1ccccc1OCc1ncccc1OC,True,0.8116515549980721,245.27799999999996,2.6778000000000013,5,40.58,0,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NCCN(CCO)C(=O)[C@H](C)OC,True,0.5941344453140195,274.361,0.14860000000000095,10,78.87000000000002,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC(C)=NNc1ccc(C(=O)O)cc1[N+](=O)[O-],True,0.473597363306279,237.21499999999997,2.1007,4,104.83000000000001,2,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCCCC[n+]1cnsc1,True,0.48721257303882004,199.34300000000005,2.791100000000001,7,16.77,0,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCC1CN(C2CCCCCC2)C1,True,0.6572584612808359,182.31099999999995,1.5996999999999995,2,29.259999999999998,1,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCCCN1CCOCC1,True,0.5886650804727198,185.31099999999998,2.2890000000000006,6,12.47,0,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C,True,0.3597849378839701,16.043,0.6361,0,0.0,0,0,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H](c1ccccc1)[C@H]1COC[C@]12CO/C(=N\O)[C@H]2S/C=C/C=C/C=C/C(=O)O,True,0.30226121821771973,415.511,4.053300000000002,7,88.35000000000001,2,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
