SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
c1cnc(NCCCC2=NNC2CCOCC2CNCCO2)nc1,True,0.5331268254802944,334.42400000000004,0.3916000000000013,10,92.69,3,8,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
COCC(C)(C)CC(=O)N1CC2(C1)CN(C1COC1)C(=O)CO2,True,0.7049757766704136,326.3930000000001,-0.1122999999999976,5,68.31,0,5,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCCNC(=O)C(=O)NC[C@H](c1ccsc1)N1CCSCC1,True,0.5083346108940154,383.5830000000002,2.6507000000000005,9,61.440000000000005,2,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCCCN[C@H]1CCC[C@H]1CCCc1ccccc1,True,0.7048319181606185,260.42499999999995,3.1164000000000014,8,38.05,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(NC[C@H]1CCCNC1)N1CCSCC1,True,0.7518786683148238,243.37599999999995,0.7444,2,44.370000000000005,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Nc1ccccc1C(=O)OCCCCO,True,0.4339177546235067,209.24499999999995,1.1981,5,72.55000000000001,2,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH](N[C@H]1CC2CCN(CC2)C1)C1(C23CCNCC2CC3)CCNCC1,True,0.7285966676973891,345.5550000000002,1.9815900000000004,4,39.33,3,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C#CCNC(=O)C(=O)Nc1ccc(OCc2ccccc2Cl)cc1,True,0.6480575331366328,342.78200000000004,2.6069000000000004,5,67.43,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCOCCNCCBr,True,0.505207350618398,196.088,1.0074,6,21.26,1,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC(C)(C)NCCN1CCc2ccccc21,True,0.8380159028973221,218.344,2.4372000000000007,3,15.27,1,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CSCCCCCNC(C)=O,True,0.6219715665760581,175.297,1.6558,6,29.1,1,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
