SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
ClN1N=CC=CC1CCNc1cc(C2CC2)nc(C2CC2)n1,True,0.8168697112833911,317.82400000000007,3.413400000000002,6,53.41,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
c1cc(-c2ccc(CCC3CCCCC3)cn2)ccn1,True,0.8042095569368414,266.3879999999999,4.656500000000004,4,25.78,0,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCCCCn1nc(C)cc1NC(=O)C(=O)NCC(c1ccccc1)c1ccccc1,True,0.40248579025006936,418.5410000000001,4.268520000000002,9,76.02,2,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
COc1ccc(NC(=O)c2ccc(F)cn2)c(S(C)(=O)=O)c1,True,0.9279815083516563,324.3330000000001,1.8851,4,85.35999999999999,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CC(C)CNC(=O)C(=O)NCc1ccnc(-c2ccccc2)c1,True,0.8311151731148337,311.385,2.1369999999999996,5,71.09,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
c1cnc(NCc2noc3ccccc23)nc1,True,0.7414773761507476,226.23900000000003,2.2298999999999998,3,63.84,1,5,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CC(C)=NNC(=S)NCCC(C)C,True,0.4141664219338362,201.33899999999997,1.8924,4,36.42,2,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
Nc1cc2ccccc2cc1C(=O)OCC(=O)N1CCCCCC1,True,0.6950258920972439,326.3960000000002,2.9814000000000016,3,72.63000000000001,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
[CH](C1CCCNCCCCCCN1)n1nnnc1N1CCC[C@H](OC2CCC2)CC1,True,0.7604137038437893,418.61000000000035,2.5129900000000003,5,80.13,2,8,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CSc1cc(C(=O)N2CCNC(=O)[C@H]2c2ccc(C)cc2)ccc1NC(C)=O,True,0.7777436055792412,397.5000000000001,2.988620000000001,4,78.51,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
Cc1cncc(C(=O)N2CCC[C@]23CCN(CC2CCCC2)C3=O)c1,True,0.8493723690993156,341.45500000000015,2.787320000000001,3,53.510000000000005,0,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
O=C(Nc1cccc(-n2cc[nH]c2=S)c1)c1ncoc1CCC(F)(F)F,True,0.6464183094457211,382.36700000000013,4.2700900000000015,5,75.85,2,5,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCN1CCCC[C@H]1CNC(=O)N1CCN(Cc2ccccc2)CC1,True,0.891350016266812,344.50300000000004,2.3882000000000003,5,38.82000000000001,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C1COC[C@@H](N(C2CCNCC2)C2CCC3(CCOCC3)CC2)C1,True,0.8590424810585723,336.52000000000015,2.958800000000001,3,33.730000000000004,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
NCCSCCC1CCN[C@H]1CN1CCC2COCCCCCCCC1C2,True,0.6440814975066137,397.67300000000034,3.4979000000000013,7,50.519999999999996,2,5,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
c1nnc2n1CCCC21CCOCCOCCOCCNC12OCCO2,True,0.6874155916748406,368.43400000000014,0.053400000000002834,0,88.89000000000001,1,9,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
OCCNC1CCN(Cc2ccc(N3CCCCC3)cc2)CC1,True,0.843786858892138,317.4770000000001,2.2231999999999994,6,38.74,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CN(CCCC1CCNCC1)CCNC1(CC2CCC2)CCOCC1,True,0.6342571071615668,351.57900000000024,3.027,10,36.53,2,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCC(CC1CC1)CN(CCO)[C@H]1CCc2ccccc21,True,0.7859961004854024,287.447,3.794500000000003,8,23.47,1,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
Cc1ccc(NC(=O)c2cnn(Cc3ccccc3)c2Br)cc1,True,0.7462980107317211,370.25000000000006,4.254620000000004,4,46.92,1,3,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCNC(=O)c1csc2ccccc12,True,0.8019680359373856,205.28199999999998,2.6510000000000016,2,29.1,1,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
O=C(N[C@H](CCc1ccccc1)C(F)(F)F)c1cccnc1,True,0.9198741341965705,308.303,3.3751000000000015,5,41.99,1,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
O=C(NCCNc1ccccc1)c1ccccc1Br,True,0.8305025855805603,319.202,3.2910000000000013,5,41.13,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCCCCCC(=O)N(CC)[C@H]1CCN(Cc2nonc2C)C1,True,0.6542267248486209,322.4530000000001,2.7712200000000013,9,62.470000000000006,0,5,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C#CCOCCC(=O)N[C@@H](C)c1ccccc1NC(=O)CCCC,True,0.5117226339959865,330.4280000000002,3.0324000000000018,10,67.43,2,3,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CN(CC(F)(F)F)C(=O)COC1CCN(C(=O)OC(C)(C)C)CC1,True,0.778006363226826,354.36900000000014,2.4232000000000005,4,59.08,0,4,True,0.9999999999999877,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
c1ccc(Nc2ccnc(N3CCOCC3)c2)cc1,True,0.9146187353672177,255.32099999999994,2.6618000000000004,3,37.39,1,4,False,0.9843907447159869,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
COc1ccccc1CN1CC[C@@]2(CCCN(c3ncccn3)C2)C1,True,0.8571857844765252,338.455,2.9777000000000013,4,41.49,0,5,True,0.9783462833218958,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CC#CCOCC=C1CCCCC1,True,0.36661792355903305,178.27499999999995,2.916800000000001,3,9.23,0,1,False,0.9687011990232407,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCCC[C@H](N[C@H](C)C(=O)NC(=O)NCc1ccccc1)C1CCC1,True,0.6426733565396906,345.48700000000014,3.349400000000002,9,70.23,3,3,False,0.9500000059300729,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCCCCCC(=O)NC[C@]1(C)CCN(C(=O)c2ccccc2)C1,True,0.7400977252594811,330.472,3.6254000000000026,8,49.410000000000004,1,2,False,0.950000002835114,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CC(C)C(=O)c1ccc(S(=O)(=O)NC2CC=CC2)cc1,True,0.6699832913268599,293.38800000000003,2.5222000000000007,5,63.24,1,3,False,0.9500000024453155,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
ClC1Oc2ccc(Br)cc21,True,0.6094459284307975,219.46499999999997,3.078900000000001,0,9.23,0,1,False,0.9271644502774207,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
[CH]1C[C@H]1CN[C@H]1CCOC2(CCCCC2)C1,True,0.7924469228933685,222.35199999999992,2.6820900000000014,3,21.259999999999998,1,2,False,0.8999999895582576,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
O=S(=O)(NCc1nc2ccccc2s1)c1cccc(F)c1,True,0.803284216618257,322.386,2.9139000000000017,4,59.06,1,4,True,0.8519733585844417,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
CCNC(=O)CNC1CC2(C1)CC(NC(=O)[C@H](F)C(F)(F)F)C2,True,0.6335105235691907,339.333,1.0398999999999994,6,70.23,3,3,False,0.8500000090436793,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
C[C@H](OCc1ccncn1)c1ccccc1,True,0.7845439300869423,214.268,2.7544000000000013,4,35.010000000000005,0,3,False,0.8499999172624372,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,1.0,0.9,multi_prefix
