SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
C1CCOC(CCCn2c(CC3CCCC3)nnc2N2CCCOCC2)NC1,True,0.771044936795638,391.56000000000023,2.7438000000000002,7,64.44,1,7,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Cc1cnccc1C(=O)NCc1ccc(Br)cc1[N+](=O)[O-],True,0.6785709716190431,350.172,2.9907200000000014,4,85.13,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
COc1ccc(OC)c(CNC(=O)N2CCc3cc(F)c(F)cc32)c1,True,0.9227493185474506,348.349,3.2543000000000015,4,50.800000000000004,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Cc1nnc(N2CCC(C3CCCCC3)CC2)o1,True,0.8070199015327166,249.35799999999992,3.1747200000000015,2,42.160000000000004,0,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
C1=CC=C1,True,0.3870021087597892,52.076,1.1124,0,0.0,0,0,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(CCNC(=O)c1ccc(Br)cc1)NCc1ccccc1,True,0.8314022512003171,361.23900000000003,2.8854000000000015,6,58.2,2,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CCCCS(=O)(=O)c1ccccc1Br,True,0.8473538212063392,277.183,3.0229000000000017,4,34.14,0,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C([CH]Cc1c[nH]c2ccccc12)N[C@H]1CCOc2c(Cl)cccc21,True,0.7378875380320128,353.829,4.208090000000002,4,54.120000000000005,2,2,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(C[CH]c1cccc(Oc2ccccc2)c1)NC/C=C\CO,True,0.7366954300661436,310.37300000000005,3.086090000000001,8,58.56,2,3,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CC(C)n1c(-c2ccccc2F)nnc1N1CC[C@@H]2[C@@H](CC(=O)N2C)C1,True,0.8475690521743988,357.4330000000001,2.722100000000001,3,54.260000000000005,0,5,False,0.9500000072136673,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(Cc1cc(Cl)c2c(c1)OCCO2)NCc1ccccc1,True,0.9427938324935224,317.772,2.9701000000000013,4,47.56,1,3,False,0.9500000026548573,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
C[C@H]1C[C@H]2C=C[C@H]1C=C2CCNCC1(N2CCOCC2)CCOCC1,True,0.5920894578975974,346.5150000000002,2.615900000000001,6,33.730000000000004,1,4,False,0.9500000000000001,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CN(C)S(=O)(=O)c1ccc(OCCOc2cccc(Cl)c2)cc1,True,0.7162033118570025,355.84299999999996,3.0481000000000016,7,55.84,0,4,False,0.9499999733681149,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CCOc1ccccc1NS(=O)(=O)c1cnc(Cl)cc1Cl,True,0.8396229582540651,347.22300000000007,3.587900000000002,5,68.28999999999999,1,4,False,0.9055463109728714,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CC(C)S(=O)(=O)NCc1cccc(Br)c1Cl,True,0.9244552719341368,326.64300000000003,2.930300000000001,4,46.17,1,2,False,0.9001609365942245,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(c1n[nH]c2cccc(F)c12)N1C[C@H]2C[C@H]1CN(Cc1ccoc1)C2,True,0.7853002005781317,354.38500000000005,2.6415000000000006,3,65.37,1,4,False,0.9000000094197895,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Nc1cccc(NC(=O)CN2CCC[C@H](c3cc4ccccc4[nH]3)C2)c1,True,0.6311451527117763,348.45000000000005,3.568200000000002,4,74.15,3,3,False,0.8999999949084292,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CCC[C@H](CC1CCCC1)C(=O)O,True,0.7125910155636765,184.279,3.0676000000000014,5,37.3,1,1,False,0.897091267337393,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
