SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
c1cc2c(cc1NCCCC1CC1)OCCOCCOCCOCCO2,True,0.8093979864278199,365.4700000000002,3.109700000000001,5,58.18000000000001,1,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
COc1cccc(COC(=O)C2(F)CCCC2)c1OC(F)F,True,0.7515528062565292,318.2909999999999,3.6221000000000023,6,44.760000000000005,0,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
CC(C)(C)OC(=O)N1CCC[C@](O)(CNc2cc(Cl)nn3ccnc23)C1,True,0.8484349285850962,381.86400000000003,2.5566000000000004,3,91.99,2,7,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
CCc1c(C(=O)NCCc2ccc(Cl)c(C)c2)cnn1CC,True,0.8867074849708104,319.83600000000007,3.399720000000002,6,46.92,1,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
COc1cc(CN2CCC[C@H]2c2ccc(C)cc2)cnc1OC,True,0.8420817200297142,312.41300000000007,3.7443200000000028,5,34.59,0,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
O=C(NC[C@H]1CNCCCO1)c1ccc(Br)cc1Cl,True,0.8812706981996151,347.64,2.2108000000000008,3,50.36,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
Cc1c(CN2CCc3nc(C4CCNCC4)ncc3C2)nc2ccccn12,True,0.7755956289938164,362.4810000000001,2.4580200000000003,3,58.35000000000001,1,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
Nc1ccc(S(=O)(=O)Nc2ccc(-n3cncn3)cc2)cc1Cl,True,0.7033539667704587,349.8030000000001,2.3037,4,102.9,2,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
Nc1ccc(OC(=O)CCc2ccc(Cl)s2)c(F)c1F,True,0.5299247883131486,317.744,3.8001000000000014,4,52.32,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
CN(Cc1cc2c(cc1Cl)OCCO2)CC1CCOCC1,True,0.8551929047338057,311.8090000000001,2.9696000000000016,4,30.930000000000003,0,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
O=C(O)CCCNC(=O)N1CCC(c2nc(-c3ccccc3)no2)CC1,True,0.768106170931872,358.39800000000014,2.490400000000001,6,108.56,2,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,tight,0.7,0.9,multi_prefix
