SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
NCCCCNC[C@H]1CCCNC1,True,0.522192578272489,185.31499999999997,0.3145000000000007,6,50.08,3,3,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
COc1c(C)cc(C(=O)O[C@H](C)C(=O)N2CCc3ccccc3C2)cc1C,True,0.7770220889043087,367.44500000000005,3.4422400000000026,4,55.84,0,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
C[C@@H]1CCN(c2nnc(-c3cccnc3)n2Cc2nccn2C(F)F)C[C@@H]1C,True,0.6708307298536168,387.4380000000001,3.4623000000000026,5,64.66,0,7,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(NCc1ncn(-c2ccccc2)n1)c1cc2cc([N+](=O)[O-])ccc2o1,True,0.43040940815869305,363.33300000000014,2.851700000000001,5,116.09,1,7,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Cc1ccc([C@H](C)NC(=O)C(=O)Nc2cccc(-n3cccc3)c2)o1,True,0.7179278495411361,337.3790000000001,3.1946200000000013,4,76.27000000000001,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
NCC12CCN3CC1N(CCOCC1CC1)CCC1(CCCCC1)CCC3C2,True,0.7043820601175332,389.62800000000027,3.6411000000000016,6,41.730000000000004,1,4,False,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CC(C)S(=O)(=O)c1ccc(CC(=O)N[C@H]2CC(C)(C)OC2(C)C)cc1,True,0.8684699091645577,367.51100000000014,2.873500000000001,5,72.47,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(NC1(c2nccs2)CCCC1)c1ccn(CC(F)(F)F)n1,True,0.9270935424453461,344.36199999999997,3.1012000000000013,4,59.81,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(Nc1cn2c(Cl)cccc2n1)c1ccnc(OC2CCC2)n1,True,0.7364139001370814,343.7740000000002,2.9613000000000005,4,81.41000000000001,1,6,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Cc1cccnc1NC(=O)NCc1cccc(CN2CCO[C@H](C)C2)c1,True,0.8663615821669832,354.4540000000002,2.9324200000000014,5,66.49000000000001,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(N[C@H]1CCO[C@H](c2ccncc2)C1)N[C@H]1CCN(c2ccccc2)C1,True,0.8732121146399681,366.46500000000015,2.8798000000000012,4,66.49,2,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(CN1CCCN(c2nccs2)CC1)Nc1ccccc1Cl,True,0.920620064533386,350.875,2.947300000000001,4,48.470000000000006,1,5,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(c1ccnc(OC2CCC2)c1)N1CCN(c2ccccc2)CC1,True,0.8603884601283438,337.42300000000006,2.9753000000000016,4,45.67,0,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
O=C(NCc1cccs1)C(=O)NCC1(c2ccccc2)CCCC1,True,0.8208599978102715,342.46400000000017,2.9925000000000015,5,58.2,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
C[C@@H]1CC[C@@H](C)N1[C@H]1CCCN(C(=O)c2ccc(NC3CC3)nc2)C1,True,0.9131746949222976,342.4870000000001,3.133300000000002,4,48.47,1,4,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
C[C@]1(C(=O)O)CCCCN1C[C@H](O)c1ccc(F)c(Br)c1,True,0.8669254688540842,360.223,2.950800000000001,4,60.769999999999996,2,3,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
Cc1cc(C(F)(F)F)ccc1NC(=S)NCCC[S@](C)=O,True,0.6394866664719718,338.4200000000002,3.0688200000000005,5,41.129999999999995,2,2,True,1.0,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
C[C@H](NS(=O)(=O)c1cc2c(cc1Cl)NC(=O)CO2)c1ccccc1,True,0.8708696544905586,366.82600000000014,2.710400000000001,4,84.50000000000001,2,4,True,0.9999999905248321,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
COc1cc(CN2CCC[C@H](C)[C@H]2CO)cc(Br)c1OC,True,0.8786263355311735,358.27600000000007,3.0591000000000017,5,41.93000000000001,1,4,True,0.9999999789789191,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
COc1cc(CN2CCc3ccc(=O)n(CC4CC4)c3CC2)cc(F)c1O,True,0.876905687035244,372.44000000000017,2.712400000000002,5,54.7,1,5,True,0.9999999748299223,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CC#CCNC(=O)c1sccc1S(=O)(=O)Nc1ccc(C)cc1,True,0.8157565764919003,348.44900000000007,2.6104200000000013,5,75.27,2,4,True,0.9810048905321691,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
CN(Cc1ccccc1CNC(=O)Nc1ccc2c(c1)CCC(=O)N2)C(=O)OC(C)(C)C,True,0.6493931336424082,438.52800000000025,4.259900000000004,5,99.77,3,4,False,0.9614680771583436,GPT2-Zinc-87M+SMC,multi_prefix_smc,ultra_tight,1.0,0.9,multi_prefix
