SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CC(=O)NC[C@H](O)c1nc2ncnc(N)c2n1[C@@H]1O[C@H](CO)[C@H]2OC(C)(C)O[C@H]21,True,0.48098898704850584,408.4150000000002,-1.0121999999999984,5,166.86999999999995,4,11,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CN1C(=O)CC[C@H]1[C@H]1CC[C@H]2CC(C(=O)NC3CCCCC3)CC[C@@H]1N2C,True,0.8251122887323215,375.55700000000024,2.935200000000001,3,52.650000000000006,1,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1cc(OC)cc(C(O)c2ccccc2Cl)c1,True,0.9310311108644117,278.735,3.438900000000002,4,38.69,1,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
Cc1cccc2nc(-c3cn(C(C)C)c4ccccc34)[nH]c12,True,0.548643253967589,289.38200000000006,5.073920000000004,2,33.61,1,2,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
Cc1nc(SCC(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)n(C)c(=O)c1C,True,0.46924982510470803,422.51000000000016,3.3802400000000015,6,93.09,2,6,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CC(=O)Nc1ccc2nc(-c3ccccc3)c(/C=C/c3cccc(OCCCN4CCOCC4)c3)cc2c1,True,0.2761571981206906,507.63400000000047,6.131700000000007,9,63.69,1,5,False,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CC1(C)OC(C)(COc2ccc(C#N)cc2)C(=O)NC1=O,True,0.8427283249463338,288.30300000000005,1.1473799999999998,3,88.41999999999999,1,5,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1ccc(Cl)cc1Cn1c(-c2cccc(C(F)(F)F)c2)nc2c(N)ncnc21,True,0.4996140477952938,433.8210000000001,4.804600000000002,4,78.85000000000001,1,6,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COCc1c(O)c(-c2ccc(C(N)=O)cc2)c2ccccc2c1C#N,True,0.7656309484898715,332.35900000000004,3.3293800000000013,4,96.34,2,4,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1cc(Cl)ccc1N1C(=O)CCC1=O,True,0.7419547822144368,239.65799999999996,2.002,2,46.61,0,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
