SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CC(=O)NC[C@H](O)c1nc2ncnc(N)c2n1[C@@H]1O[C@H](CO)[C@H]2OC(C)(C)O[C@H]21,True,0.4809889870485058,408.4150000000002,-1.0121999999999984,5,166.86999999999995,4,11,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CN1C(=O)CC[C@H]1[C@H]1CC[C@H]2CC(C(=O)NC3CCCCC3)CC[C@@H]1N2C,True,0.8251122887323215,375.5570000000002,2.935200000000001,3,52.650000000000006,1,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1cc(OC)cc(C(O)c2ccccc2Cl)c1,True,0.9310311108644116,278.735,3.438900000000002,4,38.69,1,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
Cc1cccc2nc(-c3cn(C(C)C)c4ccccc34)[nH]c12,True,0.548643253967589,289.38200000000006,5.073920000000004,2,33.61,1,2,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
Cc1nc(SCC(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)n(C)c(=O)c1C,True,0.469249825104708,422.51000000000016,3.380240000000001,6,93.09,2,6,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CC(=O)Nc1ccc2nc(-c3ccccc3)c(/C=C/c3cccc(OCCCN4CCOCC4)c3)cc2c1,True,0.2761571981206906,507.63400000000047,6.131700000000007,9,63.69,1,5,False,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CC1(C)OC(C)(COc2ccc(C#N)cc2)C(=O)NC1=O,True,0.8427283249463338,288.30300000000005,1.1473799999999998,3,88.41999999999999,1,5,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1ccc(Cl)cc1Cn1c(-c2cccc(C(F)(F)F)c2)nc2c(N)ncnc21,True,0.4996140477952938,433.8210000000001,4.804600000000002,4,78.85000000000001,1,6,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COCc1c(O)c(-c2ccc(C(N)=O)cc2)c2ccccc2c1C#N,True,0.7656309484898715,332.35900000000004,3.3293800000000013,4,96.34,2,4,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1cc(Cl)ccc1N1C(=O)CCC1=O,True,0.7419547822144368,239.658,2.002,2,46.61,0,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
NCc1ccc(-c2nc(O)c3ccccc3n2)cc1,True,0.7334991302756685,251.289,2.4611,2,72.03,2,4,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
COc1ccc([C@@H]2[C@H](O)CCN2C(=O)c2ccccc2C)cc1O,True,0.9091578652922002,327.38000000000005,2.657320000000001,3,70.0,2,4,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
C[C@@H]1CN(C(=O)Cc2ccccc2Cl)[C@@H](CNC(=O)c2ccccc2)CO1,True,0.8590718054660165,386.8790000000001,2.9284000000000017,5,58.64,1,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
CN(C)C(=O)c1c(C#N)[nH]c2cc(C#Cc3cccc(Cl)c3)c(Oc3ccc(Cl)cc3)cc12,True,0.3576033747315816,474.34700000000015,6.240280000000004,3,69.12,1,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
NC(=O)c1ccc(F)c(Nc2cc(-c3ccc(F)c(Cl)c3)ccc2F)n1,True,0.6943631262751266,377.753,4.661800000000001,4,68.01,2,3,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
C[C@@H]1CCCN1CCCCN(Cc1ccc2ccccc2c1)CC1CC1,True,0.5650405480470427,350.5500000000002,5.316300000000005,9,6.48,0,2,True,1.0,SmileyLlama-8B,gradual_loose,loose,1.0,0.9
