SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
Nc1ncnc2c1nc([C@@H](O)C1COCCO1)n2[C@@H]1C[C@@H]2CO[C@@H]1O2,True,0.7566481348739963,349.3470000000001,-0.4564000000000006,3,126.77000000000001,2,10,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
C#CCOC(=O)[C@@H]1CC[C@@H]2[C@@H]3CCC(=O)N3CC[C@@H]2N1C,True,0.5529642460887654,290.36299999999994,0.6364999999999998,2,49.85000000000001,0,4,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CC(C)NC(=O)OC[C@@H]1O[C@H](CO)C[C@@H](O)[C@@H]1O,True,0.5175406767327894,263.28999999999996,-1.0073999999999994,4,108.25000000000001,4,6,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1cccc2nc(-c3cn(C(C)C)c4ccccc34)[nH]c12,True,0.548643253967589,289.38200000000006,5.073920000000004,2,33.61,1,2,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CNC(=O)c1cc(OCc2cccc(C#N)c2)ccc1NC(C)=O,True,0.8839507185160949,323.3520000000001,2.45528,5,91.22,2,4,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
O=C(NCc1nc2ccccc2[nH]1)c1ccc2ccccc2c1,True,0.6066543361232649,301.34900000000005,3.6461000000000023,3,57.78,2,2,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
OCC1CC2(CCN(Cc3ccc(Cl)cc3)CC2)CN1Cc1ccccc1,True,0.8368398719990298,384.9510000000002,4.189000000000004,5,26.71,1,3,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1cccc(NC(=O)CSc2nc3ccccc3c(=O)n2-c2ccccc2)c1,True,0.3970315278655991,401.49100000000016,4.424920000000003,5,63.99,1,5,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
O=C(NCC(=O)N1CCC2(CCCCC2)CC1)c1ccccc1,True,0.9321978236699603,314.4289999999999,2.989300000000001,3,49.410000000000004,1,2,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COc1cc(Cl)ccc1N1C(=O)CCC1=O,True,0.7419547822144368,239.65799999999996,2.002,2,46.61,0,3,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1cc(C(=O)Nc2cc3c(s2)CCC3)c2ccccc2n1,True,0.764652124236313,308.406,4.345720000000003,2,41.99,1,3,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CN1C(=O)C(CCC(=O)O)(c2ccc(C(F)(F)F)cc2)NC(=O)C1(C)C,True,0.8478316938271179,372.34300000000013,2.1323,4,86.71000000000001,2,3,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COc1ccc([C@@H]2[C@@H](C(=O)O)OCN2C(=O)c2ccc(Cl)cc2Cl)cc1O,True,0.8000538036906336,412.225,3.332000000000002,4,96.30000000000001,2,5,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
C[C@@H]1CN(C(=O)Cc2ccccc2Cl)[C@@H](CNC(=O)c2ccco2)CO1,True,0.8699372595843866,376.84000000000015,2.5214000000000008,5,71.78,1,4,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CN(C)C(=O)c1c(C#N)[nH]c2cc(C#N)ccc12,True,0.8186956953269651,238.25,1.6130599999999997,1,83.68,1,3,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COc1ccc(Nc2ccc(NC(=O)c3cccc(C(N)=O)n3)cc2)cc1N,True,0.4883705525168449,377.4040000000001,2.7672,6,132.35999999999999,4,6,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1cccc(CN(CCCCN2C(=O)CC[C@H]2C)CCC(N)=O)c1,True,0.6625295909090033,345.48700000000014,2.46352,10,66.64,1,3,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1ccc(S(=O)(=O)N(C)c2cccc(O)c2)c([N+](=O)[O-])c1,True,0.6879415012142043,322.3420000000001,2.4339200000000005,4,100.75,1,5,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COC(=O)C[C@H]1OC(=O)[C@]2(C)[C@H]1[C@H]1C(=O)O[C@@](C)(C(=O)O)[C@@H]1[C@@H](OC(N)=O)[C@@H]2O,True,0.36033579721682385,415.3510000000001,-1.4316999999999969,4,188.75,3,10,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CCN(Cc1ccccn1)S(=O)(=O)c1c(C)noc1C,True,0.8416709451279917,295.36400000000003,1.89724,5,76.30000000000001,0,5,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CC(=O)N(C)C1Cc2ccccc2C1C1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,True,0.6860028317448029,444.4970000000001,4.744400000000005,3,40.620000000000005,0,2,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COc1ccc(NC(C(=O)N2CCN(c3ccccc3OC)CC2)C2CC2)cc1,True,0.7800521839333046,395.5030000000002,3.243100000000002,7,54.040000000000006,1,5,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COc1cccc(Nc2nc(N)c3nc(O)c(-c4cccc(OC)c4)nc3n2)c1,True,0.47050347014991106,390.4030000000001,3.1354000000000006,5,128.3,3,9,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
O=C(O)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,True,0.5232420343791511,269.256,3.463400000000002,4,80.44,1,3,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1cnc2nc(Oc3ccnc(NC(=O)C4CCCCC4)c3)ccc2c1,True,0.7311983001685065,362.43300000000016,4.644320000000003,4,77.0,1,5,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1ccc(C)c(C(=O)NC(CCC(O)C(F)(F)F)C(=O)NC(C)C)c1,True,0.6865699102507272,374.4030000000001,2.6298400000000006,7,78.43,3,3,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1nc(N)nc(N)c1-c1cccc(NC(C)C(C)O)c1,True,0.6822346784536317,287.367,1.7976200000000002,4,110.08,4,6,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
O=C(Nc1ccc(OC(F)F)c(Cl)c1)c1cccc(OC(F)F)c1,True,0.7502177078687234,363.694,4.795100000000002,6,47.56,1,3,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CC(C)(C)OC(=O)N1C[C@H]2CC[C@H]2C1,True,0.5958605885783061,197.27799999999996,2.2633,0,29.54,0,2,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CNc1cc(C(=O)O)ccc1N(C)C,True,0.7651002049564753,194.23399999999998,1.4925,3,52.57,2,3,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CC(C)N(Cc1cccc(F)c1)C(=O)CNC(=O)CCc1ccccc1,True,0.7888337879644769,356.4410000000001,3.311700000000002,8,49.410000000000004,1,2,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COc1cc(C(=O)O)c(O)c2cc(C)oc12,True,0.8132729529671846,222.19599999999997,2.15362,2,79.9,2,4,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
NC(=O)[C@@H](c1ccccc1)N1C(=O)[C@H]2CCCC[C@H]2[C@H]1C(=O)O,True,0.8743166279180501,316.35699999999997,1.3148000000000002,4,100.7,2,3,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
Cc1ccc(NC(=O)c2ncn3cc(N(C)C)c(N)nc23)cc1,True,0.7715290815022027,310.36100000000005,1.9382199999999998,3,88.55000000000001,2,6,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
CC1(C)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,True,0.3005494116177709,192.211,-2.1693000000000002,0,101.15,5,5,True,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
COC(=O)C1=CN2C[C@@H]3[C@H](CCN3C(=O)c3cccc(F)c3F)[C@H]2CC1,True,0.7580559217067949,362.3760000000001,2.3304,2,49.85,0,4,False,1.0,SmileyLlama-8B,gradual_ultra_tight,ultra_tight,1.0,0.9
