SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CCc1ccc2nc(C)c(C(=O)OCc3ccc(OC(N)=O)cc3)nc2c1C,True,0.6789908428574352,379.4160000000001,3.623540000000002,5,104.39999999999999,1,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cc2nc(N3CCN(c4cccc(C(C)=O)c4)CC3)nc(-c3cccc(O)c3)c2cc1OC,True,0.39904114012733566,484.5560000000003,4.548800000000004,6,88.02000000000001,1,8,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC1OC(c2cc(OCCN3CCCCC3)nc3ccccc23)c2c1nc1ccccc1c2N,True,0.4346251812689596,454.5740000000001,5.410500000000005,5,73.5,1,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1ccc(OCCOc2cccc(NC(=O)COc3cccc(Cl)c3C)c2)c(Cl)c1,True,0.39315738215522505,460.3570000000002,6.085540000000005,9,56.790000000000006,1,4,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
C/C(=C\C[C@H]1C=C[C@]2(CC1)CC[C@@H](CC(=O)O)[C@@H](C)O2)CC/C=C(\C)C(=O)O,True,0.4433401929889198,390.52000000000015,5.128700000000004,8,83.83,2,3,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CN1CCC[C@]2(C1=O)[C@@H](Cc1cccc(N)c1O)N[C@@H]1CCCCN12,True,0.556336320194371,344.4590000000001,1.2916999999999994,2,81.83,3,5,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COC[C@H]1O[C@@H](n2cc(C#CC(C)(C)O)c3c(-c4cccc(F)c4)ncnc32)[C@H](O)[C@H](O)[C@H]1O,True,0.4147027190855892,471.48500000000007,0.9862999999999997,4,130.09,4,9,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(NC(=O)Nc2ccc3c(c2)CCN(C)C3)cc1C(=O)NCC(C)(C)C,True,0.674797284777458,424.54500000000024,4.103000000000002,5,82.7,3,4,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)Nc1ccc(C(=O)Cn2c(=O)n(C)c3cc(NC(=O)C(C)C)ccc32)cc1,True,0.612400138429357,408.4580000000001,2.775800000000001,6,102.19999999999999,2,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cccc(C(=O)c2c3c(nc4c(OC)c(OC)c(OC)cc24)CCNCC3)c1,True,0.6113865406437192,422.4810000000002,3.1884000000000015,6,78.91000000000001,1,7,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(O)Cn1nc(-c2ccc(F)cc2)n2c(=O)c3cc(CN4CCOCC4)ccc3nc12,True,0.5146264277541411,437.4750000000003,2.0633,5,84.89,1,8,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC1=NC(C)=C(C(=O)c2ccccc2)C(c2ccc(O)cc2)=C(C)N1,True,0.8237906385930325,332.403,4.301700000000003,3,61.69,2,4,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
NC(=O)[C@@H]1N[C@@H](C(=O)NCc2cccc3ccc(Br)cc23)[C@H](O)[C@@H](O)[C@@H]1O,True,0.3661539102237341,438.278,-0.8730999999999998,4,144.91,6,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
