SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)[C@@H](O)[C@H]4CC[C@@H]([C@@H](C)CCC(=O)N(Cc5ccc(F)cc5)c5ncccc5O)[C@@](C)(CC[C@@]3(C(=O)O)O1)[C@@]42C,True,0.281130065941789,666.787,5.8383000000000065,9,146.48999999999998,3,8,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=C(N[C@H]1CC[C@@H](O)CC1)[C@H]1O[C@H](n2cnc3c([N+](=O)[O-])ncnc32)[C@H](O)[C@H]1O,True,0.3525040008571721,408.3710000000001,-1.226600000000001,4,185.76,4,11,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CCCCCOc1cc2c(OCCCCCO)c(O)c1C=c1c-2c2ccc(O)c1cc2,True,0.30002848997687465,422.5210000000001,4.889500000000007,11,79.15,3,5,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1c(C)c(O)c(O[C@@H]2C[C@H](c3ccc(O)cc3O)O[C@H]2c2cc(O)c(O)cc2C(=O)c2cccc(O)c2)c(O)c1O,True,0.08887132664807958,576.5540000000003,4.8295400000000095,6,197.36999999999998,8,11,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CN1C(=O)N(CC2CCC2)C(=O)[C@@H]1CC(=O)N1C[C@@H](CC(=O)NCc2nc3ccccc3[nH]2)[C@@H](c2ccccc2)C1,True,0.39242397557229375,556.6670000000001,3.2642000000000024,9,118.71000000000001,2,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(O[C@@H]1OCC(=O)[C@@H]1O)C(=O)NC1(C(=O)O)CC1,True,0.5516645062823321,273.24100000000004,-1.5887999999999987,5,122.16000000000001,3,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)N[C@H](Cc1cccc(C#N)c1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)C(C)C)C(C)C,True,0.07481147103218001,840.0799999999998,1.4697800000000092,24,270.58,8,9,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(-c2ccc(C)c(C(=O)NCC(=O)N3CCCC4(CCCO4)CC3)c2)cc1Cl,True,0.6921684847077267,470.9970000000004,4.6155200000000045,5,67.87,1,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=c1n(Cc2cc(Cc3ccccc3)c3ccccc3n2)c2ccccc2n1Cc1cnc2ccccc2c1O,True,0.27852533171960686,522.6080000000003,6.292400000000006,6,72.94,1,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(CC(C(=O)Nc2ccc(C(O)c3ccccc3)cc2)N2C(=O)NC(Cc3ccc(OC)cc3)(Cc3ccc(OC)cc3)C2=O)cc1,True,0.11934092684885325,699.8040000000002,6.119900000000006,14,126.43,3,7,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc([C@@H]2[C@H](O)CCN2C(=O)c2ccc(C(=O)N3C[C@@H](O)[C@@H](O)C3)cc2O)cc1O,True,0.43693554714215543,458.46700000000016,0.23209999999999964,4,151.0,5,8,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CCOC(=O)c1ccc(NC(=O)c2cn3c(nc4ccc(F)cc43)c(N)c2Nc2ccc(OC)c([N+](=O)[O-])c2)cc1,True,0.13026297820834845,558.5260000000003,5.298200000000003,8,163.12,3,10,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC=C3CC[C@@]4(O)C5=CC[C@@H]6C=CC(=O)CC[C@]6(C)C5=C([C@@H](C)C[C@H](C)C=C(C)C)[C@@]4(C)[C@@H]32)C1(C)C,True,0.24323723861729427,628.9380000000001,9.6485,5,63.6,1,4,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(COc2ccc(OCC(=O)N(C)C)c(NC(=O)COS(=O)(=O)c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])c2)cc1OC,True,0.1426207341244566,648.6030000000003,2.9102000000000006,15,215.98,1,13,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(C)C(CC[C@@H](C(C)C)[C@H]1CC[C@@]2(C)[C@@]1(C)[C@@H](OC(=O)CCC(=O)OCc1ccccc1)C[C@@H]1OC(=O)C(=O)[C@]12C)C(C)C,True,0.12588771256353032,624.8590000000003,7.72950000000001,13,95.97,0,7,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CCN(C1CCN(CCOC(C(=O)O)c2ccc(C(=O)O)cc2)C1)S(=O)(=O)c1cc(C)n(CCCOC)c1C,True,0.31219057025291563,565.6890000000003,2.7670400000000015,15,138.61,2,8,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=C1C(OCc2ccc(C(F)(F)F)cc2)=C(C2(O)CCN(C(=O)c3ccc(C(F)(F)F)cc3)CC2)C(=O)c2ccccc21,True,0.3493608230031492,603.5150000000002,6.241400000000005,5,83.91,1,5,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(CN2C[C@H](NC(=O)c3ccccc3O)C(NC(=O)C3CC3)(C(=O)O)C2)cc1,True,0.4751877083873757,453.4950000000003,1.3645999999999996,8,128.2,4,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1nc2c(N)nc(NCCCc3cccc(OC(F)F)c3)nc2nc1-c1cccc(O)c1,True,0.33813877473301396,452.4650000000001,4.329120000000003,8,119.07000000000001,3,8,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC[C@]1(C(=O)OC)C(=O)O[C@@H](c2ccccc2)[C@@H]2C1C=C(C(C)C)c1ccc(/C=C/c3ccc(OC)cc3)cc1C2(C)C,True,0.16034235765073454,578.7490000000001,8.296100000000008,7,61.83000000000001,0,5,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(Nc2ccc3ncnc(Nc4ccc(Oc5ccc6cc(C)cnc6n5)cc4NS(C)(=O)=O)c3c2)cc1S(=O)(=O)NC(N)=O,True,0.12037219566145671,715.7740000000001,4.898020000000003,11,229.51,5,13,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)C(=O)OCCCCCCCC(O)CCCC[N+](C)(C)CC1OCCO1,True,0.18480585421492127,402.5520000000002,2.4397,16,82.06000000000002,1,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cccc(C(=O)Nc2cccc(C(=O)Nc3ccc(OC(F)(F)F)cc3)c2)c1,True,0.5706891100861866,430.38200000000006,5.098400000000003,6,76.66,2,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
