SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)[C@@H](O)[C@H]4CC[C@@H]([C@@H](C)CCC(=O)O)[C@@](C)(CC[C@@]3(C(=O)O)O1)[C@@]42C,True,0.5075405645057208,466.57100000000037,3.4498000000000015,6,130.36,3,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
O=C(N[C@H]1CC[C@@H](O)CC1)[C@H]1O[C@H](n2cnc3c([N+](=O)[O-])ncnc32)[C@H](O)[C@H]1O,True,0.3525040008571721,408.3710000000001,-1.226600000000001,4,185.76,4,11,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
O=C(O)c1nn2c(Cc3ccc(O)cc3)nc3ccc4ncccc4c3c2c1NCCCCO,True,0.205166261529353,457.49000000000035,3.6097000000000024,8,132.87,4,8,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
Cc1c(C)c(O)c(O[C@@H]2C[C@H](c3ccc(O)cc3O)O[C@H]2c2cc(O)c(O)cc2C(=O)c2cccc(O)c2)c(O)c1O,True,0.08887132664807958,576.5540000000003,4.8295400000000095,6,197.36999999999998,8,11,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
CC(C)[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H]1C[C@H](Cc2nc3ccccc3[nH]2)N(C(=O)c2cccc3nc(C4CC4)[nH]c23)C1,True,0.1934992167042539,603.727,4.713200000000003,9,135.87,4,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
CC(O[C@@H]1OCC(=O)[C@@H]1O)C(=O)NC1(C(=O)O)CC1,True,0.5516645062823321,273.24100000000004,-1.5887999999999987,5,122.16000000000001,3,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
CC(=O)N[C@H](Cc1ccc(F)c(F)c1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,True,0.11452735176007427,653.728,-0.7053999999999929,17,217.69,7,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
COc1ccc(CC(C(=O)Nc2ccc(C(O)c3ccccc3)cc2)N2C(=O)NC(Cc3ccc(OC)cc3)(Cc3ccc(OC)cc3)C2=O)cc1,True,0.11934092684885325,699.8040000000002,6.119900000000006,14,126.43,3,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
COc1ccc([C@@H]2[C@@H]3[C@H]4OC(=O)C(C#N)=C([C@@H](O)[C@H]3C(=O)N2C(=O)c2ccc(O)cc2)[C@@H]4CO)cc1O,True,0.34230465291810347,506.4670000000002,0.7910799999999998,4,177.61999999999998,4,10,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
C=C1O[C@H]2[C@H](CO[C@@H]2[C@H](O)c2cc(O)c(O)c(C(C)C)c2)[C@H]1OC(C)(C)C,True,0.6964562245571797,378.46500000000015,3.365800000000002,4,88.38000000000001,3,6,True,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
Nc1ncc(C#Cc2[nH]c3cccc(C(=O)NCCO)c3c2-c2cc(O)c3c(c2)CN(CCC(=O)O)C3=O)cn1,True,0.18814250817308967,540.5360000000003,1.4650999999999998,7,194.76,6,8,False,1.0,SmileyLlama-8B,mw_logp_rotb_tight,tight,1.0,0.9
