SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CC(=O)O[C@@H](c1ccc(O)c(O)c1)[C@H](CCc1ccc(O)cc1)C(=O)O,True,0.4418823485687041,360.3620000000001,2.7412,7,124.29,4,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
C=C1C(=O)O[C@@H]2CC[C@@H]3[C@@H]([C@H](C)CCC(=O)O)CC[C@@]3(C)[C@]12C,True,0.6318996018732785,320.4290000000001,3.8015000000000025,4,63.60000000000001,1,3,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
OC[C@@H]1C[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)O1,True,0.16587244188672878,488.4390000000001,-7.1569999999999885,6,259.44999999999993,11,15,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(c1cccc(O)c1)c1ccc(O)c(O)c1,True,0.5445786881458932,230.219,2.0344000000000007,2,77.76,3,4,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
COc1cccc(/C=C/c2c(O)c3c(O)cc(O)cc3oc2=O)c1,True,0.6395751870041833,326.3040000000001,3.0888000000000018,3,100.13,3,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC(O[C@@H]1OCC(=O)[C@@H]1O)C(=O)NC1(C(=O)O)CC1,True,0.5516645062823321,273.24100000000004,-1.5887999999999987,5,122.16000000000001,3,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC(=O)N[C@H](Cc1ccc(O)c(O)c1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)O,True,0.2938140208628873,423.4660000000002,0.2652000000000005,10,165.05999999999997,6,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(NCC(=O)N1CCC2(CCCN(C(=O)c3ccccc3)C2)CC1)c1ccccc1,True,0.8284375696327543,419.52500000000015,2.961400000000001,4,69.72,1,3,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC(C)=C(C)C1=C(C)C[C@H](O)[C@H](O[C@@H]2O[C@H](C)[C@H](O)[C@@H](O)[C@H]2O)O1,True,0.5925115201506072,344.40400000000005,0.5680999999999998,3,108.61000000000001,4,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(NCCCc1ccccc1)c1ccn2c(=O)n(Cc3cc(C(=O)O)c4ccccc4n3)nc2c1,True,0.3288223661667145,481.5120000000003,3.1533000000000015,8,118.59000000000002,2,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
