SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
C=C(C(=O)OC)[C@H]1C[C@H](c2ccc(C)cc2)[C@](C)(O)C[C@H]2O[C@H](C(=C)C)[C@H]3[C@@H]2[C@@H](O)C[C@@]3(C(=O)OC)C1,True,0.35090410324838583,512.6430000000004,3.8588200000000032,5,102.29,2,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=[N+]([O-])c1ccccc1NCCCCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,True,0.20824471485331345,473.6170000000001,5.825100000000006,11,78.64,2,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCCCCOc1ccc(COc2c(O)c(C(=O)O)cc3c(CC)c(CC)c(=O)oc23)cc1,True,0.29221878855930045,454.51900000000023,5.469600000000005,11,106.2,2,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC1C(C(=O)N2CCCCC2)N(Cc2cc3cc(O)ccc3o2)CC(=O)N1c1ccc(Cl)c(F)c1,True,0.5696218339102512,499.97000000000025,4.549300000000004,4,77.23,1,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
Cn1c(=O)c2ccccc2n(Cc2ccc(OCCCCCN3C(=O)CSC3c3ccccc3)cc2)c1=O,True,0.2815097437139585,529.6620000000003,4.571800000000004,10,73.53999999999999,0,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=S(=O)(Nc1ccc(OCC(O)CNCc2ccccc2)c(F)c1)c1cccc(OCC(O)CNCc2ccccc2)c1F,True,0.11958409321514435,627.7100000000002,3.824600000000002,17,129.15,5,8,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(O)CC[C@H](NC(=O)c1ccc2nc(N3C[C@@H]4CC[C@H](C4)C3)[nH]c2c1)c1ccc(C(=O)NCc2ccccc2)cc1,True,0.21278155863306822,565.6740000000004,5.065100000000005,10,127.41999999999999,4,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCNC(=O)OC[C@H]1O[C@@H]2CC[C@H]1N(c1ccc(C)cc1)[C@H](C(=O)Nc1ccc3ccccc3c1)C2,True,0.5099837247785348,487.6000000000002,5.027920000000004,6,79.9,2,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
COc1cccc(-c2ccc(CCC(=O)N[C@H](C)C(=O)N[C@H](C(=O)C(F)(F)F)C(C)C)cc2)c1,True,0.5392851627378215,478.5110000000001,4.0717000000000025,10,84.5,2,4,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
NC(=O)[C@@H]1CCCN(c2ncc(C(=O)Nc3ccc(-c4cccnc4)c(Cl)c3)c(OCC3CC3)n2)C1,True,0.47397071600776813,506.99400000000037,3.9348000000000027,8,123.33000000000001,2,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCCCN1C(=O)C(=O)N(CCC)C(=O)C1c1ccc(OCc2ccc(-c3ccccc3C(C)=O)cc2)cc1,True,0.18493904546716522,526.6330000000003,5.583800000000005,11,83.99000000000001,0,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCOC(=O)C(NC(=O)c1ccc(Cl)cc1)P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,True,0.24144818317286304,542.7390000000001,6.616900000000004,9,90.93,1,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CN1CCN(c2ccc(CN(Cc3ccco3)C(=O)CCCCC(C)(C)c3ccc(Cl)cc3)cc2)CC1,True,0.261506387742515,522.1330000000003,6.751800000000008,11,39.93,0,4,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(O)c1cccc(CC2(O)CCN(Cc3cc(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4cc(O)ccc4n3)CC2)c1,True,0.2687292400570478,600.6149999999999,5.059800000000005,7,128.03,3,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC(C)NC(=O)c1ccc(C2=C(C(=O)OCc3ccccc3)[C@H](O)C[C@@H]3C[C@@H](O)CN3C2)cc1,True,0.5685216130016413,464.5620000000002,2.521600000000001,6,99.10000000000001,3,6,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(O)C1CC2C(C3=C4CCC(C(=O)O)(C3)CC4c3ccccc3Cl)C=CC1C2c1ccc(Cl)cc1,True,0.40241955706695903,523.456,7.338900000000007,5,74.6,2,2,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(O)CCC(=O)OC12CC(C[C@@H](NC(=O)c3cccc(C(=O)Nc4ccc5ccccc5c4)c3)C1)C2,True,0.39053188927200555,500.5510000000003,4.541100000000003,8,121.79999999999998,3,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC1c2c(Oc3ccc(C(=O)N[C@@H](Cc4c[nH]cn4)C(=O)O)cc3)cccc2C(=O)N1Cc1ccc(F)cc1,True,0.29421301349958806,528.5400000000003,4.483800000000003,9,124.61999999999999,3,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
Cc1ccc(NC(=O)Nc2cccc(C(=O)N[C@H]3C[C@@H]4C[C@@H](C(=O)NCC5CCOCC5)C[C@@H]3C4)c2)c(F)c1,True,0.40548420344346314,536.6480000000005,4.855520000000005,7,108.56000000000002,4,4,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCCCc1nc(=O)n(Cc2ccc(OC(=O)CNc3ccc4c(c3)OCCO4)cc2)c2ccccc12,True,0.26630852228712126,499.56700000000023,4.576100000000004,9,91.68,1,8,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
COc1ccc(-c2cc(NCc3ccc(-c4cc(OC)c(OC)c(OC)c4)cc3)nc(OC(C)C)n2)cc1OC,True,0.22158036846325452,545.6360000000002,6.252900000000007,12,93.19000000000001,1,9,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCOC(=O)C1(C(=O)OCCc2nc3c(-c4ccc(OC)cc4)cc(C(F)(F)F)cn3c2C)CCCCC1,True,0.26411690248831104,532.5590000000001,5.936420000000005,8,79.13000000000001,0,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
Cc1cccc(S(=O)(=O)N(CCN2CCCCC2)C2C3=C(O)CC(C)(C)CC3Cc3ccccc32)c1C,True,0.4818801604892892,522.7550000000003,6.325740000000007,6,60.85000000000001,1,4,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC(C)N(CCOC(COC(=O)c1cccnc1)COC(=O)c1ccccn1)C(C)C,True,0.4757509032712958,429.5170000000002,2.9944000000000015,12,90.85000000000001,0,8,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CC1CCCc2[nH]c(=O)c3c(c21)N(c1ccc(C(=O)NCCCOc2ccccc2)cc1)C(=O)CC3=O,True,0.372946782268085,499.5670000000003,4.264700000000004,7,108.57,2,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
COCc1c(-c2ccc(OC)c(OC)c2)oc2c3c(-c4ccc(OC)cc4OC)c(c(O)c2c1=O)CCCC3,True,0.30002379601229595,532.5890000000003,5.892200000000007,8,96.59,1,8,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
NC(=O)CCCCCC[C@H]1CC[C@H](N[C@H](Cc2c[nH]c3ccccc23)C(N)=O)CC1,True,0.3997649025573488,412.5780000000002,3.5386000000000006,12,114.0,4,3,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
COc1ccc(NC(=O)C(C)c2ccc(S(=O)(=O)c3cc(N(C)C)ccc3OCc3ccccc3)cc2N)cc1,True,0.24699706099987867,559.6880000000002,5.497400000000004,10,110.96,2,7,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
O=C(CCn1c(C2CCC(CNC(=O)C(=O)c3ccc(Cl)cc3Cl)CC2)nc2ccccc21)Nc1ccccc1,True,0.1722620348183278,577.5120000000003,6.644800000000006,9,93.09,2,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
Cc1ccc(S(=O)(=O)N[C@H](CC(=O)N2CCCCC2)CC(=O)N2CCC(C(=O)c3ccccc3)CC2)cc1,True,0.4910433054129621,539.6980000000004,3.556120000000001,9,103.86000000000001,1,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
COc1ccc(C(=O)O[C@@H]2C[C@@H]3CC[C@@H]2C[C@H](O)[C@@]3(C)CCCc2ccc(O)cc2)cc1,True,0.5858453956163984,438.5640000000002,5.136300000000006,7,75.99000000000001,2,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
CCCCCC1(Oc2ccc3ccccc3c2)O[C@H](C(=O)OC)[C@@H]([C@@H](O)n2cc(C)c(=O)[nH]c2=O)[C@@H](CO)O1,True,0.2592114711439468,542.5850000000004,2.36772,10,149.30999999999997,3,10,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
C=C(C)[C@H]1CC[C@]2(C)CC[C@H]3C[C@H](OC(=O)[C@@H](N)Cc4ccc(O)cc4)[C@H]4CCC(=O)C=C4[C@H]3[C@@H]2C1,True,0.41883781626602307,491.6720000000003,5.507900000000006,5,89.62,2,5,False,1.0,SmileyLlama-8B,mw_logp_rotb_ultra_tight,ultra_tight,1.0,0.9
